nome_parlamentar,partido,id_alesp,email_oficial,telefone_gabinete,pagina_alesp
Agente Federal Danilo Balas,PL,1139,apfdanilobalas@al.sp.gov.br,(11) 3886-6054/6052,https://www.al.sp.gov.br/deputado/?matricula=300607
Alex Madureira,PL,1140,alexdemadureira@al.sp.gov.br,(11) 3886-6676/ 6677,https://www.al.sp.gov.br/deputado/?matricula=300608
Altair Moraes,REPUBLICANOS,1178,altairmoraes@al.sp.gov.br,(11) 3886-6468/ 6476,https://www.al.sp.gov.br/deputado/?matricula=300609
Ana Carolina Serra,PSDB,1201,acrbserra@al.sp.gov.br,(11) 3886-6066/ 6067,https://www.al.sp.gov.br/deputado/?matricula=300657
Ana Perugini,PT,398,anaperugini@al.sp.gov.br,(11) 3886-6082/ 6083,https://www.al.sp.gov.br/deputado/?matricula=300466
Analice Fernandes,PSD,363,afernandes@al.sp.gov.br,(11) 3886-6797/ 6798,https://www.al.sp.gov.br/deputado/?matricula=300431
André Bueno,MDB,1237,andre.bueno@al.sp.gov.br,(11) 3886-6526 / 6527,https://www.al.sp.gov.br/deputado/?matricula=300694
André do Prado,PL,429,andredoprado@al.sp.gov.br,(11) 3886-6562/ 6563,https://www.al.sp.gov.br/deputado/?matricula=300497
Andréa Werner,PSB,1202,andreawerner@al.sp.gov.br,(11) 3886-6088/ 6089,https://www.al.sp.gov.br/deputado/?matricula=300658
Atila Jacomussi,PRD,494,atilajacomussi@al.sp.gov.br,(11) 3886-6090/ 6091,https://www.al.sp.gov.br/deputado/?matricula=300537
Barros Munhoz,PSD,124,barrosmunhoz@al.sp.gov.br,(11) 3886-6635/ 6665,https://www.al.sp.gov.br/deputado/?matricula=300188
Beth Sahão,PT,367,bsahao@al.sp.gov.br,(11) 3886-6643/ 6657,https://www.al.sp.gov.br/deputado/?matricula=300435
Bruna Furlan,REPUBLICANOS,1203,brunafurlan@al.sp.gov.br,(11) 3886-6098/ 6099,https://www.al.sp.gov.br/deputado/?matricula=300659
Bruno Zambelli,PL,1204,brunozambelli@al.sp.gov.br,(11) 3886-6860/ 6862,https://www.al.sp.gov.br/deputado/?matricula=300660
Caio França,PSB,492,caiofranca@al.sp.gov.br,(11) 3886-6572/ 6577,https://www.al.sp.gov.br/deputado/?matricula=300540
Capitão Telhada,PP,1205,capitaotelhada@al.sp.gov.br,(11) 3886-6281/ 6283,https://www.al.sp.gov.br/deputado/?matricula=300661
Carla Morando,PSD,1173,carlamorando@al.sp.gov.br,(11) 3886-6110 / 6111,https://www.al.sp.gov.br/deputado/?matricula=300614
Carlos Giannazi,PSOL,417,cgiannazi@al.sp.gov.br,(11) 3886-6686/ 6690,https://www.al.sp.gov.br/deputado/?matricula=300485
Carlão Pignatari,PSD,431,carlaopignatari@al.sp.gov.br,(11) 3886-6123/ 6124,https://www.al.sp.gov.br/deputado/?matricula=300499
Clarice Ganem,PODE,1206,clariceganem@al.sp.gov.br,(11) 3886-6093/ 6094,https://www.al.sp.gov.br/deputado/?matricula=300662
Conte Lopes,PL,141,clopes@al.sp.gov.br,(11) 3886-6464 / 6465,https://www.al.sp.gov.br/deputado/?matricula=300205
Dani Alonso,PL,1207,danialonso@al.sp.gov.br,(11) 3886-6108/ 6109,https://www.al.sp.gov.br/deputado/?matricula=300663
Daniel Soares,UNIÃO,1168,DanielSoares@al.sp.gov.br,(11) 3886-6235/ 6236,https://www.al.sp.gov.br/deputado/?matricula=300619
Delegada Graciela,PL,1167,delegadagraciela@al.sp.gov.br,(11) 3886-6276/ 6279,https://www.al.sp.gov.br/deputado/?matricula=300620
Delegado Olim,PP,493,deputado.delegadoolim@al.sp.gov.br,(11) 3886-6536/ 6543,https://www.al.sp.gov.br/deputado/?matricula=300543
Dirceu Dalben,PSD,1183,dirceudalben@al.sp.gov.br,(11) 3886-6737/ 6763,https://www.al.sp.gov.br/deputado/?matricula=300650
Donato,PT,1208,donato@al.sp.gov.br,(11) 3886-6219/ 6220,https://www.al.sp.gov.br/deputado/?matricula=300664
Dr. Eduardo Nóbrega,MDB,1209,dreduardonobrega@al.sp.gov.br,(11) 3886-6242,https://www.al.sp.gov.br/deputado/?matricula=300665
Dr. Elton,UNIÃO,1210,drelton@al.sp.gov.br,(11) 3886-6384/ 6385,https://www.al.sp.gov.br/deputado/?matricula=300666
Dr. Jorge do Carmo,PT,1164,drdepjorgedocarmo@al.sp.gov.br,(11) 3886-6517/ 6518,https://www.al.sp.gov.br/deputado/?matricula=300623
Dra. Damaris Moura,PSDB,1179,dradamarismoura@al.sp.gov.br,(11) 3886-7963 / 7936,https://www.al.sp.gov.br/deputado/?matricula=300624
Ediane Maria,PSOL,1211,edianemaria@al.sp.gov.br,(11) 3886-6395/ 6397,https://www.al.sp.gov.br/deputado/?matricula=300667
Edna Macedo,REPUBLICANOS,254,ednamacedo@al.sp.gov.br,(11) 3886-6432/ 6435,https://www.al.sp.gov.br/deputado/?matricula=300318
Edson Giriboni,UNIÃO,381,egiriboni@al.sp.gov.br,(11) 3886-6555 / 6556,https://www.al.sp.gov.br/deputado/?matricula=300449
Eduardo Suplicy,PT,1050,eduardosuplicy@al.sp.gov.br,(11) 3886-6406/ 6407,https://www.al.sp.gov.br/deputado/?matricula=300693
Emídio de Souza,PT,327,emidio@al.sp.gov.br,(11) 3886-6420/ 6418,https://www.al.sp.gov.br/deputado/?matricula=300395
Enio Tatto,PT,372,eniotatto@al.sp.gov.br,(11) 3886-6950/ 6944,https://www.al.sp.gov.br/deputado/?matricula=300440
Fabiana Bolsonaro,PL,1213,fabianab@al.sp.gov.br,(11) 3886-6504/ 6505,https://www.al.sp.gov.br/deputado/?matricula=300669
Felipe Franco,UNIÃO,1214,felipefranco@al.sp.gov.br,(11) 3886-6506/ 6507,https://www.al.sp.gov.br/deputado/?matricula=300670
