rank,deputado,partido,score_execucao,fracao_edusoc,edusoc_empenhado,edusoc_pago,n_municipios_pfc,municipios_pfc,n_individuais,total_empenhado,no_crm
1,Marcio Alvino,PL,100.0,0.2762,29620329.0,28132194.38,1,JUQUIÁ,68,107243654.0,True
2,Samia Bomfim,PSOL,99.6,0.2927,29341239.1,7162106.78,0,,63,100255816.92,False
3,Miguel Lombardi,PL,96.7,0.2789,29772601.0,29472601.0,0,,29,106746805.7,True
4,Ricardo Salles,NOVO,86.3,0.2758,20175752.44,19225985.0,0,,10,73157951.44,True
5,Luiza Erundina,PSOL,83.2,0.2446,24551913.53,9255999.5,0,,60,100359983.17,True
6,Carlos Sampaio,PSD,65.3,0.1883,20087274.0,18537274.0,0,,44,106670624.21,False
7,Professora Luciene Cavalcante,PSOL,65.3,0.1784,13035444.64,2985384.52,1,RIO CLARO,37,73059291.06,False
8,Simone Marquetto,PP,54.4,0.1753,12400000.0,11550000.0,0,,32,70738769.15,True
9,Paulo Alexandre Barbosa,PSD,53.4,0.1696,12733833.02,11804225.0,0,,30,75064474.32,True
10,Baleia Rossi,MDB,50.0,0.1444,15377985.0,15102985.0,0,,23,106474504.22,False
11,Kim Kataguiri,MISSÃO,49.9,0.1438,15409022.0,13279814.0,0,,26,107143506.51,False
12,Maria Rosas,REPUBLICANOS,45.6,0.1313,14055297.38,13455978.0,0,,28,107034628.37,True
13,Paulo Teixeira,PT,42.2,0.1571,4594392.38,1073693.27,0,,24,29243999.24,True
14,Arlindo Chinaglia,PT,36.0,0.1046,10937968.0,6935878.72,0,,45,104563644.67,True
15,Alencar Santana,PT,35.5,0.1023,10920951.92,4073774.29,0,,63,106720489.29,True
16,Adriana Ventura,NOVO,35.0,0.1008,10777480.29,5590495.0,0,,29,106875688.0,False
17,Tiririca,PSD,32.7,0.0944,10079714.87,500000.0,0,,25,106792629.46,True
18,Marangoni,PODE,31.6,0.1002,7529999.98,5580000.0,0,,18,75146395.98,True
19,Jilmar Tatto,PT,29.9,0.095,7119958.5,5483404.19,0,,23,74943554.92,True
20,Rosana Valle,PL,28.2,0.0825,8385791.0,7585791.0,0,,50,101672499.74,False
21,Juliana Cardoso,PT,27.8,0.0887,6517820.06,3710254.66,0,,43,73480290.13,True
22,Kiko Celeguim,PT,27.7,0.0881,6533716.8,811190.7,0,,33,74168773.1,True
23,Jefferson Campos,PL,25.8,0.0456,4892127.0,4166286.0,1,SÃO ROQUE,60,107204851.92,True
24,Jonas Donizette,PSB,25.6,0.0812,6100000.0,4700000.0,0,,18,75146606.08,False
25,Mauricio Neves,PP,25.1,0.0798,6000000.0,6000000.0,0,,8,75147569.08,True
26,Rosangela Moro,PL,19.6,0.0624,4680000.0,4580000.0,0,,25,74975399.27,True
27,Nilto Tatto,PT,19.6,0.0565,6025277.0,5075277.0,0,,50,106605544.78,True
28,Alexandre Leite,UNIÃO,19.5,0.0564,5935534.13,3200000.0,0,,26,105169663.95,True
29,Capitao Augusto,PL,19.4,0.0559,6000000.0,6000000.0,0,,11,107250969.0,True
30,Tabata Amaral,PSB,18.3,0.0532,5511541.69,3290577.93,0,,61,103526646.1,False
31,Rui Falcao,PT,18.2,0.0529,5536501.09,3736511.0,0,,42,104648866.66,True
32,Luiz Philippe De Orleans E Braganca,PL,17.3,0.0517,4891493.53,2800000.0,0,,59,94670126.66,True
33,Adilson Barroso,PL,17.2,0.0545,4095000.0,4095000.0,0,,23,75178509.97,True
34,Marcos Pereira,REPUBLICANOS,16.3,0.0469,5026808.0,5026808.0,0,,21,107223164.0,True
35,Carlos Zarattini,PT,15.4,0.0443,4734825.0,3739114.0,0,,44,106804156.72,True
36,Renata Abreu,PODE,13.3,0.0383,4100002.0,3750002.0,0,,19,106948289.23,False
37,Alfredinho,PT,10.4,0.0333,2400000.0,2211256.23,0,,25,71972804.0,True
38,Paulo Freire Costa,PL,10.2,0.0298,3029612.58,482920.0,0,,47,101778368.73,True
39,Vinicius Carvalho,PL,10.0,0.0288,3088195.0,2500000.0,0,,32,107170480.68,True
40,Celso Russomanno,REPUBLICANOS,8.7,0.0254,2617301.0,2617301.0,0,,46,103103593.23,True
41,Erika Hilton,PSOL,8.6,0.0277,2000977.12,715091.68,0,,32,72149455.0,False
42,Fausto Pinato,UNIÃO,8.1,0.0234,2500000.0,2500000.0,0,,24,106652756.35,True
43,Vitor Lippi,PSD,8.1,0.0236,2400000.0,1780637.96,0,,25,101525064.15,False
44,Delegado Paulo Bilynskyj,PL,7.6,0.024,1800000.0,1800000.0,0,,18,75134430.09,True
45,Mario Frias,PL,7.5,0.0239,1800000.0,1650000.0,0,,26,75180879.27,True
46,Delegado Da Cunha,UNIÃO,7.1,0.0226,1700000.0,1400000.0,0,,18,75140627.22,True
47,David Soares,PODE,6.3,0.018,1931585.0,1931585.0,0,,15,107248274.44,True
48,Gilberto Nascimento,PODE,5.8,0.0168,1800000.0,1600000.0,0,,49,107250193.78,True
49,Delegado Palumbo,PODE,5.1,0.0161,1205542.0,1150000.0,0,,15,74921478.9,True
50,Felipe Becari,PODE,4.2,0.0135,1000000.0,1000000.0,0,,30,74049424.36,True
51,Milton Vieira,REPUBLICANOS,3.0,0.0112,358426.0,358426.0,0,,11,31903395.0,True
52,Saulo Pedroso,PSD,3.0,0.0095,700000.0,700000.0,0,,30,73397520.18,True
53,Orlando Silva,PCdoB,3.0,0.0087,900000.0,0.0,0,,44,103184230.52,True
54,Antonio Carlos Rodrigues,PODE,0.0,0.0,0.0,0.0,0,,9,75147570.0,True
55,Cezinha De Madureira,PL,0.0,0.0,0.0,0.0,0,,11,107250970.0,True
56,Arnaldo Jardim,CIDADANIA,0.0,0.0,0.0,0.0,0,,16,105465399.0,False
57,Delegado Bruno Lima,PODE,0.0,0.0,0.0,0.0,0,,3,36925956.86,True
58,Fabio Teruel,MDB,0.0,0.0,0.0,0.0,0,,5,75047489.65,True
59,Bruno Ganem,PODE,0.0,0.0,0.0,0.0,0,,14,75147172.61,True
60,Alex Manente,CIDADANIA,0.0,0.0,0.0,0.0,0,,9,106989098.15,False
61,Paulinho Da Forca,SOLIDARIEDADE,0.0,0.0,0.0,0.0,0,,14,107250966.0,True
62,Luiz Carlos Motta,PL,0.0,0.0,0.0,0.0,0,,10,105204971.0,False
63,Rodrigo Gambale,PODE,0.0,0.0,0.0,0.0,0,,6,75145493.0,True
64,Pr. Marco Feliciano,PL,0.0,0.0,0.0,0.0,0,,59,107250957.08,True
