deputado,partido,municipio,orgao_processador,area,ano,n_emendas,valor_autorizado,valor_pago,transferencia_especial
André do Prado,PL,BIRITIBA-MIRIM,SGRI,outra,2023,1,1000000.0,1000000.0,False
André do Prado,PL,SÃO PAULO,SAÚDE,saúde,2023,6,600000.0,600000.0,False
André do Prado,PL,CAJATI,SGRI,outra,2023,1,500000.0,500000.0,False
André do Prado,PL,JACUPIRANGA,SGRI,outra,2023,1,500000.0,500000.0,False
André do Prado,PL,MIRACATU,SGRI,outra,2023,1,500000.0,500000.0,False
André do Prado,PL,SANTA BRANCA,SGRI,outra,2023,1,500000.0,500000.0,False
André do Prado,PL,RIBEIRÃO PRETO,SGRI,outra,2023,2,400000.0,400000.0,False
André do Prado,PL,CARAPICUÍBA,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,GUARAÇAÍ,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,IGARATÁ,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,JACAREÍ,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,PACAEMBU,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,POTIM,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,REDENÇÃO DA SERRA,SGRI,outra,2023,2,300000.0,300000.0,False
André do Prado,PL,SANTA BÁRBARA D'OESTE,DESENV. SOCIAL,assistência social,2023,6,300000.0,300000.0,False
André do Prado,PL,SANTA ISABEL,SAÚDE,saúde,2023,1,300000.0,0.0,False
André do Prado,PL,UBATUBA,SAÚDE,saúde,2023,1,300000.0,300000.0,False
André do Prado,PL,QUELUZ,SAÚDE,saúde,2023,1,227319.0,227319.0,False
André do Prado,PL,AMÉRICO BRASILIENSE,SGRI,outra,2023,1,200000.0,200000.0,False
André do Prado,PL,ARAÇARIGUAMA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,BARRETOS,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,BOITUVA,SAÚDE,saúde,2023,2,200000.0,0.0,False
André do Prado,PL,CRUZEIRO,SAÚDE,saúde,2023,2,200000.0,200000.0,False
André do Prado,PL,GUARAREMA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,JANDIRA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,JUQUITIBA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,LAGOINHA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,MONGAGUÁ,SGRI,outra,2023,1,200000.0,200000.0,False
André do Prado,PL,NATIVIDADE DA SERRA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,REGISTRO,SAÚDE,saúde,2023,1,200000.0,0.0,False
André do Prado,PL,ROSEIRA,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,TAUBATÉ,SAÚDE,saúde,2023,1,200000.0,200000.0,False
André do Prado,PL,CUNHA,SAÚDE,saúde,2023,1,100000.0,100000.0,False
André do Prado,PL,CUNHA,DESENV. SOCIAL,assistência social,2023,1,100000.0,100000.0,False
André do Prado,PL,IPORANGA,SAÚDE,saúde,2023,1,100000.0,100000.0,False
André do Prado,PL,JOANÓPOLIS,SAÚDE,saúde,2023,1,100000.0,100000.0,False
André do Prado,PL,MOGI DAS CRUZES,SAÚDE,saúde,2023,1,100000.0,0.0,False
André do Prado,PL,SANTA BRANCA,SGRI,outra,2024,1,1565448.0,1565448.0,False
André do Prado,PL,BERTIOGA,SAÚDE,saúde,2024,1,1100000.0,1100000.0,False
André do Prado,PL,ITAQUAQUECETUBA,SAÚDE,saúde,2024,1,1000000.0,1000000.0,False
André do Prado,PL,SUZANO,SAÚDE,saúde,2024,1,1000000.0,1000000.0,False
André do Prado,PL,MAIRIPORÃ,SGRI,outra,2024,1,500000.0,500000.0,False
André do Prado,PL,RIBEIRÃO PRETO,SGRI,outra,2024,1,500000.0,0.0,False
André do Prado,PL,SANTA BRANCA,SAÚDE,saúde,2024,1,500000.0,500000.0,False
André do Prado,PL,BIRITIBA-MIRIM,SAÚDE,saúde,2024,1,485672.0,485672.0,False
André do Prado,PL,MIRACATU,SAÚDE,saúde,2024,1,400000.0,400000.0,False
André do Prado,PL,CUNHA,DESENV. SOCIAL,assistência social,2024,1,300000.0,300000.0,False
André do Prado,PL,JUQUITIBA,SGRI,outra,2024,1,300000.0,300000.0,False
André do Prado,PL,MOGI DAS CRUZES,BOMBEIROS PM DO EST. SÃO PAULO,outra,2024,1,300000.0,300000.0,False
André do Prado,PL,PIQUETE,SGRI,outra,2024,1,300000.0,300000.0,False
André do Prado,PL,SÃO PAULO,SAÚDE,saúde,2024,3,300000.0,300000.0,False
André do Prado,PL,TAUBATÉ,SGRI,outra,2024,1,300000.0,300000.0,False
André do Prado,PL,BARRETOS,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,GUARUJÁ,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,JACAREÍ,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,PACAEMBU,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,PARIQUERA-AÇU,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,QUELUZ,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,ROSEIRA,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,SÃO MANUEL,SAÚDE,saúde,2024,1,200000.0,200000.0,False
André do Prado,PL,MIRACATU,FUNDO SOCIAL DE SÃO PAULO - FUS SP,outra,2024,1,125000.0,125000.0,False
André do Prado,PL,BIRITIBA-MIRIM,DESENV. SOCIAL,assistência social,2024,2,100000.0,100000.0,False
André do Prado,PL,CACONDE,SAÚDE,saúde,2024,1,100000.0,100000.0,False
André do Prado,PL,JUQUIÁ,CULTURA,outra,2024,1,100000.0,0.0,False
André do Prado,PL,LAVRINHAS,SAÚDE,saúde,2024,1,100000.0,100000.0,False
André do Prado,PL,JUQUIÁ,DESENV. SOCIAL,assistência social,2024,1,0.0,0.0,False
André do Prado,PL,SÃO PAULO,SEGURANÇA PÚBLICA,outra,2024,1,0.0,0.0,False
André do Prado,PL,CUNHA,AGRICULTURA,outra,2025,1,1000000.0,1000000.0,False
André do Prado,PL,MAIRINQUE,SAÚDE,saúde,2025,1,1000000.0,1000000.0,False
André do Prado,PL,UBATUBA,SAÚDE,saúde,2025,1,1000000.0,1000000.0,False
André do Prado,PL,JACAREÍ,SAÚDE,saúde,2025,1,800000.0,800000.0,False
André do Prado,PL,JUQUIÁ,SGRI,outra,2025,1,700000.0,700000.0,False
André do Prado,PL,SÃO PAULO,SAÚDE,saúde,2025,7,600000.0,400000.0,False
André do Prado,PL,ALTAIR,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,ARUJÁ,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,AVARÉ,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,GUARAREMA,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,PINDAMONHANGABA,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,SANTA ISABEL,SAÚDE,saúde,2025,1,500000.0,0.0,False
André do Prado,PL,SETE BARRAS,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,SUZANO,SAÚDE,saúde,2025,1,500000.0,500000.0,False
André do Prado,PL,PARAIBUNA,SAÚDE,saúde,2025,1,416278.0,416278.0,False
