posicao,deputado,partido,na_planilha_fabio,deputado_fabio,autorizado_pfc,pago_pfc,fatia_pfc_pct,n_emendas_pfc,n_municipios_pfc,municipio_top,autorizado_municipio_top,municipios_pfc,autorizado_geral_sem_te
1,Itamar Borges,MDB,False,,10873300.0,10143300.0,31.8,105,29,SÃO JOSÉ DO RIO PRETO,6748300.0,SÃO JOSÉ DO RIO PRETO; MIRASSOL; JOSÉ BONIFÁCIO; MIRANTE DO PARANAPANEMA; OLÍMPIA; PIRAPOZINHO; COLINA; PIRAJUÍ; GUARARAPES; GUARATINGUETÁ; DRACENA; ANDRADINA; VALENTIM GENTIL; PIQUETE; BOCAINA; ELDORADO; GUAÍRA; MERIDIANO; PEREIRA BARRETO; SÃO CARLOS; BADY BASSITT; BANANAL; GENERAL SALGADO; LINS; SANTA FÉ DO SUL; TANABI; VALPARAÍSO; PIRATININGA; IBATÉ,34169717.0
2,Professora Bebel,PT,True,Professora Bebel,9971659.5,8380000.0,30.2,134,59,SÃO PAULO,1743659.5,SÃO PAULO; PIRACICABA; TATUÍ; PENÁPOLIS; SÃO PEDRO; TAQUARITINGA; CAMPINAS; ÁGUAS DE SÃO PEDRO; BEBEDOURO; EMBU-GUAÇU; IRACEMÁPOLIS; JACAREÍ; NOVA ODESSA; RIO DAS PEDRAS; VALINHOS; RIBEIRÃO PRETO; MATÃO; MONTE AZUL PAULISTA; SOROCABA; LINS; CAPIVARI; GUARULHOS; TORRINHA; ATIBAIA; LUIZIÂNIA; ITAPEVA; ITAQUAQUECETUBA; JANDIRA; JUQUITIBA; SANTA FÉ DO SUL; CUBATÃO; ITAPEVI; AMPARO; CARAPICUÍBA; CERQUEIRA CÉSAR; COTIA; CRUZEIRO; HORTOLÂNDIA; JABOTICABAL; PRESIDENTE VENCESLAU; RAFARD; REGISTRO; RIO CLARO; BARRA BONITA; ITU; EMILIANÓPOLIS; SANTA BÁRBARA D'OESTE; SUMARÉ; SANTO ANDRÉ; PRESIDENTE PRUDENTE; LENÇÓIS PAULISTA; PIACATU; SANTANA DA PONTE PENSA; SÃO SEBASTIÃO; TABOÃO DA SERRA; ARAÇATUBA; CAÇAPAVA; BARRETOS; SALTINHO,33049717.0
3,Valdomiro Lopes,PSB,False,,9376120.0,8696707.41,43.3,76,32,SÃO JOSÉ DO RIO PRETO,3126120.0,SÃO JOSÉ DO RIO PRETO; GUAÍRA; MIRASSOL; VALENTIM GENTIL; NHANDEARA; MONÇÕES; MONTE APRAZÍVEL; NOVA GRANADA; BARRETOS; GUZOLÂNDIA; NIPOÃ; OUROESTE; INDIAPORÃ; JOSÉ BONIFÁCIO; BADY BASSITT; CEDRAL; GENERAL SALGADO; IRAPUÃ; ALTAIR; APARECIDA D'OESTE; GUARACI; ITUVERAVA; NEVES PAULISTA; MACAUBAL; BURITAMA; URUPÊS; FLOREAL; SALES; TANABI; SÃO PAULO; VOTUPORANGA; GASTÃO VIDIGAL,21642398.0
4,Emidio de Souza,PT,False,,8613020.13,6712757.51,25.9,83,20,OSASCO,3050000.0,OSASCO; SÃO PAULO; SÃO JOSÉ DOS CAMPOS; JAÚ; GUARULHOS; CESÁRIO LANGE; GUARATINGUETÁ; TABOÃO DA SERRA; EMBU DAS ARTES; AGUDOS; ARTUR NOGUEIRA; ITAPEVA; DIADEMA; PRAIA GRANDE; SÃO LOURENÇO DA SERRA; SERRANA; AREIÓPOLIS; MONTEIRO LOBATO; PIRACICABA; QUELUZ,33228929.14
5,Rafael Silva,PSD,False,,7933439.0,7933439.0,24.3,55,17,RIBEIRÃO PRETO,3640120.0,RIBEIRÃO PRETO; BATATAIS; PONTAL; ALTINÓPOLIS; TAQUARITINGA; SERRANA; VIRADOURO; PIRANGI; CRAVINHOS; FRANCA; SERRA AZUL; CAJOBI; CAJURU; CÂNDIDO RODRIGUES; JABOTICABAL; SANTA RITA DO PASSA QUATRO; DESCALVADO,32669717.0
6,Luiz Fernando T Ferreira,PT,False,,7353139.0,5240000.0,21.5,66,19,SÃO BERNARDO DO CAMPO,3050000.0,SÃO BERNARDO DO CAMPO; SÃO PAULO; CACONDE; MOGI GUAÇU; PERUÍBE; CASA BRANCA; MOCOCA; PARAIBUNA; SALTO; VOTORANTIM; SANTOS; SANTO ANDRÉ; ÁGUAS DA PRATA; SÃO JOSÉ DO RIO PARDO; FRANCO DA ROCHA; SANTA RITA DO PASSA QUATRO; CAMPINAS; SÃO JOÃO DA BOA VISTA; ESPÍRITO SANTO DO PINHAL,34169717.0
7,Paulo Fiorilo,PT,False,,7034259.0,6274259.0,21.8,94,40,SÃO PAULO,2744259.0,SÃO PAULO; JALES; DIADEMA; GUARULHOS; BAURU; SANTA CRUZ DAS PALMEIRAS; SANTO ANASTÁCIO; LEME; PIRASSUNUNGA; TAQUARITINGA; FARTURA; ANDRADINA; JABOTICABAL; OSASCO; PRESIDENTE PRUDENTE; IBITINGA; RIBEIRÃO GRANDE; TAGUAÍ; BARRINHA; PRESIDENTE VENCESLAU; REGISTRO; FERRAZ DE VASCONCELOS; VALENTIM GENTIL; APIAÍ; FERNANDÓPOLIS; IPAUSSU; SANTA ALBERTINA; CAMPINAS; CARDOSO; ILHA SOLTEIRA; PALMEIRA D'OESTE; SÃO MIGUEL ARCANJO; PONTAL; ESPÍRITO SANTO DO PINHAL; PRESIDENTE EPITÁCIO; SÃO JOÃO DA BOA VISTA; TAMBAÚ; VOTUPORANGA; RIBEIRÃO PRETO; SANTA FÉ DO SUL,32269717.0
8,Leonardo Siqueira,NOVO,True,Leonardo Siqueira,6860406.0,5722000.0,29.1,26,7,SÃO PAULO,4616406.0,SÃO PAULO; TAUBATÉ; CAMPINAS; ARARAQUARA; SÃO JOÃO DA BOA VISTA; RIBEIRÃO PRETO; PIRACICABA,23542398.0
9,Ricardo Madalena,PL,False,,6430120.0,6130120.0,19.1,81,44,CÂNDIDO MOTA,500000.0,CÂNDIDO MOTA; BARIRI; SANTA CRUZ DO RIO PARDO; TUPÃ; JAÚ; SÃO PEDRO DO TURVO; ASSIS; AVARÉ; MANDURI; OURINHOS; IACANGA; IBITINGA; CERQUEIRA CÉSAR; QUATÁ; GENERAL SALGADO; PIRAJU; BERNARDINO DE CAMPOS; TIETÊ; DUARTINA; ITAPECERICA DA SERRA; RIBEIRÃO DO SUL; ROSANA; CHAVANTES; IPAUSSU; MURUTINGA DO SUL; NARANDIBA; PARANAPANEMA; SANTO ANASTÁCIO; TEJUPÁ; INÚBIA PAULISTA; LUCÉLIA; AREALVA; BOCAINA; FARTURA; REGISTRO; CASTILHO; MIGUELÓPOLIS; RANCHARIA; ADAMANTINA; IPERÓ; ITAPORANGA; JABOTICABAL; PALMITAL; SÃO PAULO,33749717.0
10,Márcia Lia,PT,False,,6360278.0,4830278.0,19.8,74,39,ARARAQUARA,745000.0,ARARAQUARA; MATÃO; ITÁPOLIS; SÃO MANUEL; SÃO PAULO; JABOTICABAL; TAQUARITINGA; SÃO CARLOS; BARRINHA; OSASCO; JANDIRA; JAÚ; AMÉRICO BRASILIENSE; BOTUCATU; CARAPICUÍBA; BIRIGUI; CAPIVARI; FRANCA; IGARAPAVA; ITAPUÍ; ITUVERAVA; JABORANDI; MAIRINQUE; PEDREGULHO; PORTO FELIZ; SÃO JOAQUIM DA BARRA; SÃO JOSÉ DA BELA VISTA; TUPI PAULISTA; MIGUELÓPOLIS; RINCÃO; VOTUPORANGA; BARRA BONITA; DOIS CÓRREGOS; RIBEIRÃO BONITO; MONTE AZUL PAULISTA; HORTOLÂNDIA; IBATÉ; RIBEIRÃO PRETO; JUQUITIBA,32184717.0
11,Barros Munhoz,PSD,False,,6312398.0,6162398.0,19.3,41,9,ITAPIRA,4516278.0,ITAPIRA; NOVA ODESSA; SANTA CRUZ DAS PALMEIRAS; CACONDE; TAPIRATIBA; MOCOCA; ARTUR NOGUEIRA; MOGI GUAÇU; MOGI MIRIM,32769717.0
12,Delegada Graciela,PL,False,,6210278.0,5260278.0,19.1,47,21,FRANCA,1580278.0,FRANCA; SÃO JOAQUIM DA BARRA; PATROCÍNIO PAULISTA; CRAVINHOS; GUAÍRA; AVARÉ; ITÁPOLIS; JABOTICABAL; BURI; IGARAPAVA; SÃO JOSÉ DA BELA VISTA; ITUVERAVA; MIGUELÓPOLIS; COLINA; DESCALVADO; NUPORANGA; ARAMINA; CÁSSIA DOS COQUEIROS; TAQUARITINGA; IRAPUÃ; IPUÃ,32499717.0
13,Carlos Giannazi,PSOL,True,Carlos Giannazi,6170000.0,5170000.0,18.1,37,16,GUARULHOS,870000.0,GUARULHOS; BOFETE; ITÁPOLIS; PRESIDENTE PRUDENTE; SANTA CRUZ DO RIO PARDO; BORBOREMA; ITATINGA; SÃO PAULO; GENERAL SALGADO; SANTO ANASTÁCIO; BAURU; COLINA; CONCHAS; BOTUCATU; TABATINGA; JABOTICABAL,34169717.0
14,Andréa Werner,PSB,True,Andréa Werner,5880000.0,4640000.0,24.9,40,24,SÃO PAULO,1200000.0,SÃO PAULO; CAMPINAS; PIRACICABA; MAUÁ; GUARULHOS; SOROCABA; JAÚ; SANTA BÁRBARA D'OESTE; SANTANA DE PARNAÍBA; SUMARÉ; VINHEDO; ITANHAÉM; JACAREÍ; CAMPINA DO MONTE ALEGRE; CABREÚVA; COTIA; TAUBATÉ; UBATUBA; MAIRINQUE; OSASCO; OURINHOS; PIRAJUÍ; SANTO ANDRÉ; VALINHOS,23642398.0
15,Léo Oliveira,MDB,False,,5866120.0,5066120.0,19.0,67,16,RIBEIRÃO PRETO,2000000.0,RIBEIRÃO PRETO; BRODOWSKI; SERTÃOZINHO; GUARÁ; CRAVINHOS; BATATAIS; MONTE ALTO; SERRA AZUL; DIVINOLÂNDIA; CAJURU; MIGUELÓPOLIS; NUPORANGA; SANTO ANTÔNIO DA ALEGRIA; RINCÃO; TAQUARITINGA; PITANGUEIRAS,30806057.5
16,Leticia Aguiar,PL,False,,5650000.0,5360000.0,16.7,96,48,SÃO JOSÉ DOS CAMPOS,1400000.0,SÃO JOSÉ DOS CAMPOS; CACHOEIRA PAULISTA; IPAUSSU; CAMPOS DO JORDÃO; PEDERNEIRAS; GARÇA; JACAREÍ; VALINHOS; OLÍMPIA; ILHABELA; JABOTICABAL; OSVALDO CRUZ; PIRAJU; PONTAL; SALMOURÃO; CAPÃO BONITO; POTIRENDABA; SANTA CRUZ DO RIO PARDO; SANTO ANTÔNIO DO PINHAL; JAMBEIRO; SÃO JOSÉ DO RIO PARDO; UBIRAJARA; ÓLEO; GUARATINGUETÁ; CATANDUVA; LUIZIÂNIA; ASSIS; CORDEIRÓPOLIS; CRUZEIRO; ITÁPOLIS; ITIRAPINA; MIRASSOL; PINDORAMA; TAUBATÉ; VIRADOURO; ADAMANTINA; BRODOWSKI; CAÇAPAVA; CLEMENTINA; CRAVINHOS; FLÓRIDA PAULISTA; ITAPIRA; PARAIBUNA; PARAPUÃ; BERNARDINO DE CAMPOS; LIMEIRA; LORENA; MONTEIRO LOBATO,33809717.0
17,Ana Perugini,PT,False,,5366511.19,1546616.13,25.6,19,10,HORTOLÂNDIA,3866511.19,HORTOLÂNDIA; BERNARDINO DE CAMPOS; PAULICÉIA; BATATAIS; CAMPINAS; SUZANÁPOLIS; ESPÍRITO SANTO DO TURVO; INDIAPORÃ; PALMITAL; TUPÃ,20942397.99
18,Beth Sahão,PT,False,,5266120.0,5066120.0,24.7,88,31,CATANDUVA,1560000.0,CATANDUVA; SÃO PAULO; MIRASSOL; SANTO ANASTÁCIO; MATÃO; SÃO JOSÉ DO RIO PRETO; IBITINGA; IACANGA; NOVO HORIZONTE; ITÁPOLIS; JOSÉ BONIFÁCIO; TAQUARITINGA; RANCHARIA; TABOÃO DA SERRA; JAÚ; SANTA ADÉLIA; SÃO JOSÉ DOS CAMPOS; BARRA BONITA; BOCAINA; BOTUCATU; ÁLVARES MACHADO; PROMISSÃO; OLÍMPIA; URUPÊS; AGUDOS; MONTE ALTO; MONTE AZUL PAULISTA; PINDORAMA; BARRETOS; SEVERÍNIA; GUARULHOS,21352398.0
19,Carla Morando,PSD,False,,5130000.0,5030000.0,21.9,106,15,SÃO BERNARDO DO CAMPO,3600000.0,SÃO BERNARDO DO CAMPO; SANTO ANDRÉ; DIADEMA; AVARÉ; SÃO CAETANO DO SUL; PRESIDENTE PRUDENTE; JAÚ; SÃO PAULO; PRESIDENTE BERNARDES; ARAÇOIABA DA SERRA; BAURU; COTIA; MIRASSOL; RIO GRANDE DA SERRA; RIBEIRÃO PIRES,23414858.5
20,Vinicius Almeida Camarinha,PSDB,False,,5010000.0,4960000.0,23.6,97,39,MARÍLIA,810000.0,MARÍLIA; ASSIS; LINS; PROMISSÃO; AGUDOS; RANCHARIA; PARAGUAÇU PAULISTA; CÂNDIDO MOTA; BASTOS; CERQUEIRA CÉSAR; TARUMÃ; LENÇÓIS PAULISTA; PRESIDENTE ALVES; CAMPOS NOVOS PAULISTA; GARÇA; AVARÉ; CAFELÂNDIA; MACATUBA; OURINHOS; SALMOURÃO; SALTO GRANDE; TUPÃ; ÁLVARO DE CARVALHO; CRUZÁLIA; QUATÁ; PRESIDENTE BERNARDES; DUARTINA; JÚLIO MESQUITA; SANTA CRUZ DO RIO PARDO; VERA CRUZ; POMPEIA; CHAVANTES; GETULINA; OSVALDO CRUZ; PARAPUÃ; PLATINA; TIMBURI; UBIRAJARA; BURITAMA,21263439.0
21,Carlão Pignatari,PSD,False,,4925000.0,4925000.0,14.4,63,7,VOTUPORANGA,4275000.0,VOTUPORANGA; MACAUBAL; MENDONÇA; ADOLFO; RIOLÂNDIA; SÃO JOSÉ DO RIO PRETO; CATANDUVA,34169717.0
22,Thainara Faria,PT,False,,4898060.0,4448060.0,22.2,48,25,RINCÃO,1050000.0,RINCÃO; SÃO CARLOS; SERRANA; IGARAPAVA; ARARAQUARA; CÂNDIDO RODRIGUES; RIBEIRÃO BONITO; SÃO SIMÃO; EMBU DAS ARTES; JABOTICABAL; SÃO PAULO; SANTA LÚCIA; BARRETOS; IACANGA; NAZARÉ PAULISTA; NOVA EUROPA; RIBEIRÃO BRANCO; SANTA ROSA DE VITERBO; SERRA AZUL; MATÃO; FERNANDÓPOLIS; MOCOCA; SÃO JOAQUIM DA BARRA; ITUVERAVA; RIBEIRÃO PRETO,22092398.0
23,Major Mecca,PL,False,,4887236.85,4787236.85,14.3,61,26,AVARÉ,1529097.85,AVARÉ; SÃO PAULO; RINCÃO; LINS; JACAREÍ; RUBINEIA; SÃO CARLOS; SANTA FÉ DO SUL; ANDRADINA; CERQUEIRA CÉSAR; GUARULHOS; RIBEIRÃO PRETO; SOROCABA; VARGEM GRANDE DO SUL; CAMPINAS; PALMITAL; TAUBATÉ; DESCALVADO; SABINO; TAQUARITUBA; RIO CLARO; CACONDE; PIRACICABA; SANTA RITA DO PASSA QUATRO; MARÍLIA; SANTOS,34069717.0
24,Helio Donizete Zanatta,PSD,False,,4876120.0,4876120.0,44.4,69,28,PIRACICABA,1920000.0,PIRACICABA; MANDURI; LENÇÓIS PAULISTA; SÃO PEDRO; CERQUEIRA CÉSAR; REGENTE FEIJÓ; PIRAPOZINHO; RIBEIRÃO PIRES; SANTA GERTRUDES; BASTOS; IPEÚNA; LARANJAL PAULISTA; PIRAJU; PRESIDENTE EPITÁCIO; PRESIDENTE VENCESLAU; SANTO ANASTÁCIO; SÃO PAULO; PRESIDENTE BERNARDES; CACONDE; ANDRADINA; MARTINÓPOLIS; OSVALDO CRUZ; PARAPUÃ; PIACATU; TEODORO SAMPAIO; VALPARAÍSO; IEPÊ; SALMOURÃO,10976120.0
25,Caio França,PSB,True,Caio França,4679078.0,3608078.0,18.1,55,20,SÃO VICENTE,1043650.0,SÃO VICENTE; SANTO ANDRÉ; CUBATÃO; REGISTRO; SANTOS; SÃO PAULO; MAUÁ; INDAIATUBA; SALTO; ITAPETININGA; PARIQUERA-AÇU; PERUÍBE; RIO GRANDE DA SERRA; IPERÓ; MAIRINQUE; PRAIA GRANDE; PORTO FERREIRA; PIRACICABA; BERTIOGA; RIBEIRÃO PIRES,25817719.5
26,Delegado Olim,PP,False,,4667535.0,3917535.0,14.8,34,14,SÃO PAULO,1892578.0,SÃO PAULO; OSASCO; SÃO BERNARDO DO CAMPO; BURITAMA; CAMPINAS; SANTO ANDRÉ; OLÍMPIA; FRANCISCO MORATO; PENÁPOLIS; PRESIDENTE PRUDENTE; TAMBAÚ; MONGAGUÁ; SANTANA DE PARNAÍBA; SÃO VICENTE,31619717.0
