municipio,id_municipio,regiao_imediata_id,regiao_imediata_nome
Adamantina,3500105,350019,Adamantina - Lucélia
Adolfo,3500204,350025,São José do Rio Preto
Aguaí,3500303,350044,São João da Boa Vista
Águas da Prata,3500402,350044,São João da Boa Vista
Águas de Lindóia,3500501,350048,Amparo
Águas de Santa Bárbara,3500550,350007,Avaré
Águas de São Pedro,3500600,350040,Piracicaba
Agudos,3500709,350009,Bauru
Alambari,3500758,350006,Itapetininga
Alfredo Marcondes,3500808,350018,Presidente Prudente
Altair,3500907,350025,São José do Rio Preto
Altinópolis,3501004,350031,Ribeirão Preto
Alto Alegre,3501103,350023,Birigui - Penápolis
Alumínio,3501152,350003,Sorocaba
Álvares Florence,3501202,350027,Votuporanga
Álvares Machado,3501301,350018,Presidente Prudente
Álvaro de Carvalho,3501400,350013,Marília
Alvinlândia,3501509,350013,Marília
Americana,3501608,350038,Campinas
Américo Brasiliense,3501707,350036,Araraquara
Américo de Campos,3501806,350027,Votuporanga
Amparo,3501905,350048,Amparo
Analândia,3502002,350046,Rio Claro
Andradina,3502101,350024,Andradina
Angatuba,3502200,350006,Itapetininga
Anhembi,3502309,350011,Botucatu
Anhumas,3502408,350018,Presidente Prudente
Aparecida,3502507,350052,Guaratinguetá
Aparecida d'Oeste,3502606,350028,Jales
Apiaí,3502705,350004,Itapeva
Araçariguama,3502754,350003,Sorocaba
Araçatuba,3502804,350022,Araçatuba
Araçoiaba da Serra,3502903,350003,Sorocaba
Aramina,3503000,350035,Ituverava
Arandu,3503109,350007,Avaré
Arapeí,3503158,350053,Cruzeiro
Araraquara,3503208,350036,Araraquara
Araras,3503307,350045,Araras
Arco-Íris,3503356,350016,Tupã
Arealva,3503406,350009,Bauru
Areias,3503505,350053,Cruzeiro
Areiópolis,3503604,350011,Botucatu
Ariranha,3503703,350026,Catanduva
Artur Nogueira,3503802,350038,Campinas
Arujá,3503901,350001,São Paulo
Aspásia,3503950,350028,Jales
Assis,3504008,350014,Assis
Atibaia,3504107,350041,Bragança Paulista
Auriflama,3504206,350022,Araçatuba
Avaí,3504305,350009,Bauru
Avanhandava,3504404,350023,Birigui - Penápolis
Avaré,3504503,350007,Avaré
Bady Bassitt,3504602,350025,São José do Rio Preto
Balbinos,3504701,350009,Bauru
Bálsamo,3504800,350025,São José do Rio Preto
Bananal,3504909,350053,Cruzeiro
Barão de Antonina,3505005,350004,Itapeva
Barbosa,3505104,350023,Birigui - Penápolis
Bariri,3505203,350010,Jaú
Barra Bonita,3505302,350010,Jaú
Barra do Chapéu,3505351,350004,Itapeva
Barra do Turvo,3505401,350005,Registro
Barretos,3505500,350032,Barretos
Barrinha,3505609,350031,Ribeirão Preto
Barueri,3505708,350001,São Paulo
Bastos,3505807,350016,Tupã
Batatais,3505906,350031,Ribeirão Preto
Bauru,3506003,350009,Bauru
Bebedouro,3506102,350032,Barretos
Bento de Abreu,3506201,350022,Araçatuba
Bernardino de Campos,3506300,350015,Ourinhos
Bertioga,3506359,350002,Santos
Bilac,3506409,350023,Birigui - Penápolis
Birigui,3506508,350023,Birigui - Penápolis
Biritiba Mirim,3506607,350001,São Paulo
Boa Esperança do Sul,3506706,350036,Araraquara
Bocaina,3506805,350010,Jaú
Bofete,3506904,350011,Botucatu
Boituva,3507001,350003,Sorocaba
Bom Jesus dos Perdões,3507100,350041,Bragança Paulista
Bom Sucesso de Itararé,3507159,350004,Itapeva
Borá,3507209,350014,Assis
Boracéia,3507308,350010,Jaú
Borborema,3507407,350036,Araraquara
Borebi,3507456,350009,Bauru
Botucatu,3507506,350011,Botucatu
Bragança Paulista,3507605,350041,Bragança Paulista
Braúna,3507704,350023,Birigui - Penápolis
Brejo Alegre,3507753,350023,Birigui - Penápolis
Brodowski,3507803,350031,Ribeirão Preto
Brotas,3507902,350010,Jaú
Buri,3508009,350004,Itapeva
Buritama,3508108,350023,Birigui - Penápolis
Buritizal,3508207,350035,Ituverava
Cabrália Paulista,3508306,350009,Bauru
Cabreúva,3508405,350039,Jundiaí
Caçapava,3508504,350049,São José dos Campos
Cachoeira Paulista,3508603,350053,Cruzeiro
Caconde,3508702,350047,São José do Rio Pardo - Mococa
Cafelândia,3508801,350012,Lins
Caiabu,3508900,350018,Presidente Prudente
Caieiras,3509007,350001,São Paulo
Caiuá,3509106,350021,Presidente Epitácio-Presidente Venceslau
Cajamar,3509205,350001,São Paulo
Cajati,3509254,350005,Registro
Cajobi,3509304,350032,Barretos
Cajuru,3509403,350031,Ribeirão Preto
Campina do Monte Alegre,3509452,350006,Itapetininga
Campinas,3509502,350038,Campinas
Campo Limpo Paulista,3509601,350039,Jundiaí
Campos do Jordão,3509700,350050,Taubaté - Pindamonhangaba
Campos Novos Paulista,3509809,350013,Marília
Cananéia,3509908,350005,Registro
Canas,3509957,350052,Guaratinguetá
Cândido Mota,3510005,350014,Assis
Cândido Rodrigues,3510104,350036,Araraquara
Canitar,3510153,350015,Ourinhos
Capão Bonito,3510203,350004,Itapeva
Capela do Alto,3510302,350003,Sorocaba
Capivari,3510401,350040,Piracicaba
Caraguatatuba,3510500,350051,Caraguatatuba - Ubatuba - São Sebastião
Carapicuíba,3510609,350001,São Paulo
Cardoso,3510708,350027,Votuporanga
Casa Branca,3510807,350044,São João da Boa Vista
Cássia dos Coqueiros,3510906,350031,Ribeirão Preto
Castilho,3511003,350024,Andradina
Catanduva,3511102,350026,Catanduva
Catiguá,3511201,350026,Catanduva
Cedral,3511300,350025,São José do Rio Preto
Cerqueira César,3511409,350007,Avaré
Cerquilho,3511508,350003,Sorocaba
Cesário Lange,3511607,350008,Tatuí
Charqueada,3511706,350040,Piracicaba
Clementina,3511904,350023,Birigui - Penápolis
Colina,3512001,350032,Barretos
Colômbia,3512100,350032,Barretos
Conchal,3512209,350045,Araras
Conchas,3512308,350011,Botucatu
Cordeirópolis,3512407,350042,Limeira
Coroados,3512506,350023,Birigui - Penápolis
Coronel Macedo,3512605,350007,Avaré
Corumbataí,3512704,350046,Rio Claro
Cosmópolis,3512803,350038,Campinas
Cosmorama,3512902,350027,Votuporanga
Cotia,3513009,350001,São Paulo
Cravinhos,3513108,350031,Ribeirão Preto
Cristais Paulista,3513207,350033,Franca
Cruzália,3513306,350014,Assis
Cruzeiro,3513405,350053,Cruzeiro
Cubatão,3513504,350002,Santos
Cunha,3513603,350052,Guaratinguetá
Descalvado,3513702,350037,São Carlos
Diadema,3513801,350001,São Paulo
Dirce Reis,3513850,350028,Jales
Divinolândia,3513900,350047,São José do Rio Pardo - Mococa
Dobrada,3514007,350036,Araraquara
Dois Córregos,3514106,350010,Jaú
Dolcinópolis,3514205,350028,Jales
Dourado,3514304,350037,São Carlos
Dracena,3514403,350020,Dracena
Duartina,3514502,350009,Bauru
Dumont,3514601,350031,Ribeirão Preto
Echaporã,3514700,350013,Marília
Eldorado,3514809,350005,Registro
Elias Fausto,3514908,350038,Campinas
Elisiário,3514924,350026,Catanduva
Embaúba,3514957,350026,Catanduva
Embu das Artes,3515004,350001,São Paulo
Embu-Guaçu,3515103,350001,São Paulo
Emilianópolis,3515129,350018,Presidente Prudente
Engenheiro Coelho,3515152,350042,Limeira
Espírito Santo do Pinhal,3515186,350044,São João da Boa Vista
Espírito Santo do Turvo,3515194,350015,Ourinhos
Estrela d'Oeste,3515202,350029,Fernandópolis
Estrela do Norte,3515301,350018,Presidente Prudente
Euclides da Cunha Paulista,3515350,350018,Presidente Prudente
Fartura,3515400,350017,Piraju
Fernandópolis,3515509,350029,Fernandópolis
Fernando Prestes,3515608,350026,Catanduva
Fernão,3515657,350013,Marília
Ferraz de Vasconcelos,3515707,350001,São Paulo
Flora Rica,3515806,350020,Dracena
Floreal,3515905,350027,Votuporanga
Flórida Paulista,3516002,350019,Adamantina - Lucélia
Florínea,3516101,350014,Assis
Franca,3516200,350033,Franca
Francisco Morato,3516309,350001,São Paulo
Franco da Rocha,3516408,350001,São Paulo
Gabriel Monteiro,3516507,350023,Birigui - Penápolis
Gália,3516606,350013,Marília
Garça,3516705,350013,Marília
Gastão Vidigal,3516804,350022,Araçatuba
Gavião Peixoto,3516853,350036,Araraquara
General Salgado,3516903,350022,Araçatuba
Getulina,3517000,350013,Marília
Glicério,3517109,350023,Birigui - Penápolis
Guaiçara,3517208,350012,Lins
Guaimbê,3517307,350013,Marília
Guaíra,3517406,350032,Barretos
