Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AYRES DE MOURA PROFESSOR,35000012,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARTUR ORLANDO, 907 RUA. VILA JAGUARA. 05118-000 São Paulo - SP.",(11) 36251934,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-23.51227,-46.74971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GAVIAO PEIXOTO BRIGADEIRO,35000024,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MOGEIRO, 710 RUA. VILA PERUS. 05208-230 São Paulo - SP.",(11) 39170748,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.40471,-46.75938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO SOLIMEO,35000036,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DO SABAO, 1497 ESTRADA. JARDIM MARISTELA. 02806-000 São Paulo - SP.",(11) 39238001,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4694686,-46.6983995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WALFREDO ARANTES CALDAS PROFESSOR,35000048,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 1701 VILA SOUZA. 02860-001 São Paulo - SP.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.464,-46.67971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,35000059,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO GIRON, SN ESTRADA. MORRO DOCE. 05267-000 São Paulo - SP.",(11) 39166331,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.4383462,-46.7924469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SUZANA DE CAMPOS DONA,35000061,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO MAIA, 691 RUA. VILA PERUS. 05204-110 São Paulo - SP.",(11) 39156049,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4067938,-46.7552957
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIO DE FARIA E SOUZA PROFESSOR,35000073,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"POMPEU PEQUENO DE SOUZA BRASIL, 89 RUA. VILA FRANCOS. 02881-100 São Paulo - SP.",(11) 38514186,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.4672717,-46.67466
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIO CESAR DE OLIVEIRA PROFESSOR,35000085,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALBERTO VEIGA, 99 RUA. VILA PIRITUBA. 05172-270 São Paulo - SP.",(11) 39045586,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.4817479,-46.7458102
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RENATO DE ARRUDA PENTEADO PROFESSOR,35000097,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FLORIANO DA COSTA BARROSO, 10 RUA. JARDIM CAROMBE. 02855-220 São Paulo - SP.",(11) 39213350,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4581327,-46.7022058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO BOEMER JARDIM PROFESSOR,35000103,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CRISTOVAO SANTIAGO, 50 RUA. JARDIM ONDINA. 02871-040 São Paulo - SP.",(11) 38513079,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,,-23.4613,-46.6739
