cod_ibge,municipio,cnpj,razao_social,email,telefone,endereco,cep,fonte
3500204,Adolfo,45140431000191,MUNICIPIO DE ADOLFO,,1738149020,CASTRO ALVES 780 CENTRO ADOLFO SP,15230019,receita-cnpj
3500758,Alambari,67360420000150,MUNICIPIO DE ALAMBARI,,1532749000,RUA DAHIR RACHID S/N CENTRO ALAMBARI SP,18220000,receita-cnpj
3500907,Altair,45152782000112,MUNICIPIO DE ALTAIR,,1738899500,JOAQUIM CARLOS GARCIA 384 CENTRO ALTAIR SP,15430005,receita-cnpj
3501152,Alumínio,58987629000157,MUNICIPIO DE ALUMINIO,,,ENG. ANTONIO DE CASTRO FIGUEIROA 100 VILA SANTA LUZIA ALUMINIO SP,18125000,receita-cnpj
3502002,Analândia,44659076000107,MUNICIPIO DE ANALANDIA,,,04 381 CENTRO ANALANDIA SP,13550000,receita-cnpj
3502200,Angatuba,46634234000191,MUNICIPIO DE ANGATUBA,,1532559500,JOAO LOPES FILHO 120 CENTRO ANGATUBA SP,18240047,receita-cnpj
3502754,Araçariguama,58993577000121,MUNICIPIO DE ARACARIGUAMA,,1153322170,SAO JOAO 228 CENTRO ARACARIGUAMA SP,18147957,receita-cnpj
3502903,Araçoiaba da Serra,46634069000178,MUNICIPIO DE ARACOIABA DA SERRA,,1532817000,LUANE MILANDA OLIVEIRA 600 JARDIM NOSSA SENHORA SALETE ARACOIABA DA SERRA SP,18191122,receita-cnpj
3504602,Bady Bassitt,45093267000109,MUNICIPIO DE BADY BASSITT,,1738185100,CAMILO DE MORAES 475 CENTRO BADY BASSITT SP,15115000,receita-cnpj
3505401,Barra do Turvo,46634317000180,MUNICIPIO DE BARRA DO TURVO,,0155771112,21 DE MARCO 304 CENTRO BARRA DO TURVO SP,11955000,receita-cnpj
3507001,Boituva,46634499000190,MUNICIPIO DE BOITUVA,,,TANCREDO NEVES 01 CENTRO BOITUVA SP,18550000,receita-cnpj
