municipio,cargo,nome_urna,nome,partido
Capela do Alto,PREFEITO,HENRIQUE DANIEL LEME,HENRIQUE DANIEL LEME,PSD
Capela do Alto,VEREADOR,TEREZINHA DO ZÉ MARIA,TEREZINHA DE FÁTIMA SIMÕIS SILVA,PSD
Capela do Alto,VEREADOR,SIMONE ARRUDA,SIMONE DE ARRUDA,PSD
Capela do Alto,VEREADOR,DRA ALINE MORI,ALINE CRISTINA MORI MACIEL,PP
Capela do Alto,VEREADOR,WELTON CAMILO,WELTON CAMILO LEITE BONADIO,PSD
Capela do Alto,VEREADOR,LÉO CORRENTE DO BEM,LEONARDO BENEDITO ANTONIO GALAVOTI,PP
Capela do Alto,VEREADOR,FELIPE SIMÕES,FELIPE SIMÕES DE ALMEIDA,UNIÃO
Capela do Alto,VEREADOR,SÔNIA CARRIEL,SÔNIA RODRIGUES CARRIEL,REPUBLICANOS
Capela do Alto,VEREADOR,RODRIGO SOARES,RODRIGO SOARES DA SILVA,PL
Capela do Alto,VEREADOR,AMAURI DO PORTO,JOSÉ LAURI FRANCO,REPUBLICANOS
Capela do Alto,VEREADOR,JOÃO LEITE,JOÃO APARECIDO DE OLIVEIRA LEITE,REPUBLICANOS
Capela do Alto,VEREADOR,ALUISIO,ALUISIO ROQUE DE OLIVEIRA,PL
Capela do Alto,VICE-PREFEITO,MENEGUETTI,JOSUÉ CORREA,REPUBLICANOS
Cesário Lange,PREFEITO,RAMIRO,RAMIRO DE CAMPOS,REPUBLICANOS
Cesário Lange,VEREADOR,ALESSANDRO DA SANTA CASA,ALESSANDRO DONIZETE PAES VIEIRA,PSD
Cesário Lange,VEREADOR,MARQUINHO DO GRÊMIO,MARCOS VINICIUS DE CAMARGO MOURA,PP
Cesário Lange,VEREADOR,JO DA SACOLA,JOSELIA APARECIDA DE LIMA,REPUBLICANOS
Cesário Lange,VEREADOR,DANIELA FARIAS,DANIELA NUNES FARIAS,MDB
Cesário Lange,VEREADOR,LUCIANO TOLEDO,LUCIANO CESAR DE TOLEDO,UNIÃO
Cesário Lange,VEREADOR,GUSTAVO CAMARGO,GUSTAVO BORTOLON DOS SANTOS CAMARGO,SOLIDARIEDADE
Cesário Lange,VEREADOR,FELIPE ROCHA,FELIPE AUGUSTO DE CAMPOS ROCHA,PL
Cesário Lange,VEREADOR,ROGÉRIO DA FARMACIA,ROGERIO TELES DA SILVA,PL
Cesário Lange,VEREADOR,GABRIEL BIANO,HAMILTON GABRIEL VIEIRA DE LIMA,PSD
Cesário Lange,VEREADOR,OSMAR TONINHO,OSMAR TREVISAN,UNIÃO
Cesário Lange,VEREADOR,CRISTIANO DO MAURO,CRISTIANO DE JESUS RODRIGUES,SOLIDARIEDADE
Cesário Lange,VICE-PREFEITO,ANDRÉ CANJICA,ANDRE LUIZ SOARES DE ARRUDA,PSD
