cod_ibge,municipio,percentual,valor_aplicado,receita_base,exercicio,periodo,origem
3510302,Capela do Alto,32.26,24754949.16,,2025,,tce-sp
3511607,Cesário Lange,29.1,23245684.36,,2025,,tce-sp
3512704,Corumbataí,32.79,14767323.23,,2025,,tce-sp
3518503,Guareí,35.4,24542235.53,,2025,,tce-sp
3521002,Iperó,27.36,39900742.24,,2025,,tce-sp
3526100,Juquiá,29.86,22123012.8,,2025,,tce-sp
3530300,Mirassol,32.17,87660270.94,,2025,,tce-sp
3543907,Rio Claro,30.83,272401791.28,,2025,,tce-sp
3545209,Salto,27.31,150549492.45,,2025,,tce-sp
3550605,São Roque,35.05,133365240.78,,2025,,tce-sp
3554003,Tatuí,27.18,117682202.07,,2025,,tce-sp
