dominio,nome,url_sugerida,aderencia,tem_editais,mencoes,veredito,status
mostratec.liberato.com.br,Mostratec – Mostra Internacional de Ciência e Tecnologia,https://mostratec.liberato.com.br,100,True,266,recomendada,pendente
memoria2.cnpq.br,CNPq - Portal CNPq,https://memoria2.cnpq.br,95,True,4,recomendada,pendente
wingseducacao.com.br,Wings Educação,https://wingseducacao.com.br,71,True,4,recomendada,pendente
even3.com.br,Crie seus eventos e venda inscrições online - A plataforma de Eventos | Even3,https://even3.com.br,63,True,6,recomendada,pendente
centrolemann.org.br,Centro Lemann,https://centrolemann.org.br/programas/programa-de-pesquisa-aplicada/,63,True,4,recomendada,pendente
ev.org.br,Fundação Bradesco - Escola Virtual,https://ev.org.br,63,True,4,recomendada,pendente
sicredi.com.br,Sicredi,https://www.sicredi.com.br/site/investimentos/,63,True,4,recomendada,pendente
escolascriativas.org,Escolas Criativas,https://escolascriativas.org,63,True,4,recomendada,pendente
petrobras.com.br,Petrobras,https://petrobras.com.br/sustentabilidade/selecoes-publicas,63,True,2,recomendada,pendente
virtualmostratec.liberato.com.br,Mostratec Virtual – Mostra Internacional de Ciência e Tecnologia,https://virtualmostratec.liberato.com.br,90,False,10,talvez,pendente
fipe.org.br,Fipe,https://fipe.org.br,63,False,2,talvez,pendente
centrodememoria.cnpq.br,Centro de Memória - CNPq,https://centrodememoria.cnpq.br,52,False,4,descartar,pendente
dfg.de,DFG,https://dfg.de,41,False,8,descartar,pendente
imja.org.br,Home | IMJA,https://imja.org.br,41,False,4,descartar,pendente
stanford.edu,Stanford University,https://stanford.edu,41,False,2,descartar,pendente
obia.nic.br,OBIA,https://obia.nic.br,32,False,2,descartar,pendente
bradesco.csod.com,Welcome - Realize Your Potential: Cornerstone,https://bradesco.csod.com,30,False,6,descartar,pendente
carloschagas.cnpq.br,Plataforma Integrada Carlos Chagas,https://carloschagas.cnpq.br,30,False,4,descartar,pendente
tiktok.com,tiktok.com,https://tiktok.com,30,False,4,descartar,pendente
banco.bradesco,BANCO BRADESCO | Desafie o futuro,https://banco.bradesco,30,False,4,descartar,pendente
museubradesco.fb.org.br,Museu HistÃ³rico - FundaÃ§Ã£o Bradesco,https://museubradesco.fb.org.br,30,False,4,descartar,pendente
sebrae.com.br,"Sebrae | Abra, Formalize e Faça seu Negócio Crescer",https://sebrae.com.br,30,False,4,descartar,pendente
qa.agenciaupside.com,Em Desenvolvimento,https://qa.agenciaupside.com,30,False,2,descartar,pendente
bb.com.br,[bb.com.br],https://bb.com.br,30,False,2,descartar,pendente
www5.usp.br,"USP – Universidade de São Paulo – Universidade pública, autarquia ligada à Secretaria de Estado de Ensino Superior de Sã",https://www5.usp.br,21,False,4,descartar,pendente
vivo.com.br,Vivo,https://vivo.com.br,10,False,4,descartar,pendente
liberato.com.br,liberato.com.br,https://liberato.com.br,0,False,8,descartar,pendente
insper.edu.br,insper.edu.br,https://insper.edu.br,0,False,6,descartar,pendente
sistema.clubesassociados.com.br,sistema.clubesassociados.com.br,https://sistema.clubesassociados.com.br,0,False,4,descartar,pendente
dadosabertos.cnpq.br,dadosabertos.cnpq.br,https://dadosabertos.cnpq.br,0,False,4,descartar,pendente
sisgen-pesquisa.cnpq.br,sisgen-pesquisa.cnpq.br,https://sisgen-pesquisa.cnpq.br,0,False,4,descartar,pendente
educacao.org.br,educacao.org.br,https://educacao.org.br,0,False,4,descartar,pendente
leideacesso.etransparencia.com.br,leideacesso.etransparencia.com.br,https://leideacesso.etransparencia.com.br,0,False,4,descartar,pendente
ex.escolasexponenciais.com.br,ex.escolasexponenciais.com.br,https://ex.escolasexponenciais.com.br,0,False,4,descartar,pendente
otd.cgee.org.br,otd.cgee.org.br,https://otd.cgee.org.br,0,False,2,descartar,pendente
primaestudio.com.br,primaestudio.com.br,https://primaestudio.com.br,0,False,2,descartar,pendente
meufuturosite.shop,meufuturosite.shop,https://meufuturosite.shop,0,False,2,descartar,pendente
webserver-finep-prd.lfr.cloud,webserver-finep-prd.lfr.cloud,https://webserver-finep-prd.lfr.cloud,0,False,2,descartar,pendente
unicid.edu.br,unicid.edu.br,https://unicid.edu.br,0,False,2,descartar,pendente
udp.cl,udp.cl,https://udp.cl,0,False,2,descartar,pendente
